Date,Time (mins)
06/24/2021,42.6
06/23/2021,46.75
06/22/2021,93.05
06/21/2021,28.63
06/19/2021,28.73
06/18/2021,28.87
06/17/2021,12.37
06/16/2021,34.43
06/14/2021,41.45
06/13/2021,12.07
06/11/2021,43.13
06/10/2021,85.9
06/09/2021,51.1
06/08/2021,71.58
06/07/2021,64.2
06/06/2021,69.62
06/05/2021,57.37
06/04/2021,57.7
06/03/2021,49.75
06/02/2021,48.17
06/01/2021,62.35
05/31/2021,70.83
05/30/2021,61.12
05/29/2021,56.47
05/28/2021,58.08
05/27/2021,53.57
05/26/2021,56.47
05/25/2021,56.02
05/24/2021,52.38
05/23/2021,59.02
05/22/2021,61.95
05/21/2021,50.3
05/20/2021,58.28
05/19/2021,47.48
05/18/2021,42.85
05/17/2021,64.53
05/15/2021,17.22
05/13/2021,54.28
05/12/2021,59.38
05/11/2021,48.48
05/10/2021,51.63
05/09/2021,94.12
05/08/2021,5.7
05/06/2021,55.82
05/05/2021,62.2
05/04/2021,54.8
05/03/2021,51.28
05/02/2021,31.35
05/01/2021,86.65
04/30/2021,20.63
04/29/2021,80.73
04/28/2021,33.42
04/27/2021,46.78
04/26/2021,64.63
04/25/2021,106.63
04/24/2021,14.47
04/22/2021,49.83
04/21/2021,49.07
04/20/2021,55.27
04/19/2021,51.77
04/18/2021,48.28
04/17/2021,38.55
04/16/2021,17.37
04/15/2021,28.83
04/14/2021,67.28
04/13/2021,41.8
04/12/2021,37.97
04/11/2021,43.62
04/10/2021,72.35
04/08/2021,39.3
04/07/2021,25.18
04/06/2021,38.47
04/05/2021,41.83
04/04/2021,34.25
04/03/2021,64.93
04/01/2021,56.85
03/29/2021,34.85
03/28/2021,3.65
03/25/2021,50.13
03/23/2021,63.75
03/22/2021,45.18
03/21/2021,26.38
03/20/2021,42.5
03/18/2021,70.32
03/17/2021,13.95
03/15/2021,46.57
03/14/2021,35.92
03/13/2021,27.17
03/11/2021,17.47
03/10/2021,46.02
03/09/2021,6.08
03/08/2021,42.88
03/07/2021,65.93
03/05/2021,32.43
03/03/2021,24.38
03/02/2021,29.02
03/01/2021,81.9
02/28/2021,56.93
02/25/2021,32.17
02/24/2021,0.5
02/21/2021,28.62
02/20/2021,30.93
02/19/2021,67.18
02/16/2021,23.38
02/15/2021,25.1
02/14/2021,52.75
02/13/2021,96.82
02/09/2021,30
02/08/2021,20.4
02/07/2021,2.45
02/06/2021,61.97
02/04/2021,33
02/03/2021,62.02
02/02/2021,3.52
02/01/2021,22.5
01/31/2021,14.35
01/30/2021,46.27
01/29/2021,69.03
01/28/2021,65.37
01/27/2021,60.1
01/26/2021,14.57
01/25/2021,55.7
01/24/2021,63.35
01/23/2021,62.65
01/22/2021,72.37
01/21/2021,59.12
01/20/2021,62.82
01/19/2021,64.42
01/18/2021,64.65
01/17/2021,64.87
01/16/2021,59.43
01/15/2021,64.45
01/14/2021,53.52
01/13/2021,63.35
01/12/2021,60.03
01/11/2021,54.75
01/10/2021,60.12
01/09/2021,56.72
01/08/2021,46.02
01/07/2021,31.88
01/06/2021,42.3
01/05/2021,59
01/04/2021,54.98
01/03/2021,57.12
01/02/2021,55.22
01/01/2021,59.5
12/31/2020,62.5
12/30/2020,51.27
12/29/2020,58.43
12/28/2020,58.58
12/27/2020,52.3
12/26/2020,46.22
12/25/2020,60
12/24/2020,54
12/23/2020,61
12/22/2020,65
12/21/2020,85
12/20/2020,65
12/19/2020,47
12/18/2020,60
12/17/2020,66
12/16/2020,76
12/15/2020,83
12/14/2020,88
12/13/2020,73
12/12/2020,69
12/11/2020,89
12/10/2020,84
12/09/2020,89
12/08/2020,90
12/07/2020,83
12/06/2020,91.3
12/05/2020,59.2
12/04/2020,79.63
12/03/2020,63.83
12/02/2020,93.97
12/01/2020,76.92
11/30/2020,84.35
11/29/2020,83.1
11/28/2020,79.47
11/27/2020,72
11/26/2020,82.75
11/25/2020,75.82
11/24/2020,82.47
11/23/2020,92.5
11/22/2020,80
11/21/2020,59.98
11/20/2020,91.13
11/19/2020,80.82
11/18/2020,69.3
11/17/2020,81.52
11/16/2020,84.25
11/15/2020,65.33
11/14/2020,76.27
11/13/2020,77.32
11/12/2020,72.53
11/11/2020,83.92
11/10/2020,90.25
11/09/2020,81.5
11/08/2020,71.75
11/07/2020,74.57
11/06/2020,65.92
11/05/2020,72.4
11/04/2020,70.58
11/03/2020,68.62
11/02/2020,70.92
11/01/2020,86.1
10/31/2020,80.23
10/30/2020,70.22
10/29/2020,68.95
10/28/2020,69.45
10/27/2020,67.23
10/26/2020,72.78
10/25/2020,62.95
10/24/2020,56.65
10/23/2020,64.68
10/22/2020,109.12
10/21/2020,79.45
10/20/2020,80.6
10/19/2020,84.57
10/18/2020,97.03
10/17/2020,68.27
10/16/2020,73.98
10/15/2020,95.93
10/14/2020,77.58
10/13/2020,75.65
10/12/2020,60
10/11/2020,85.93
10/10/2020,62.03
10/09/2020,48.85
10/08/2020,60.18
10/07/2020,43.12
10/06/2020,42.13
10/05/2020,30.07
10/04/2020,30.18
10/03/2020,27
10/02/2020,30
10/01/2020,25
09/30/2020,15
09/29/2020,15
09/28/2020,30
09/26/2020,15
09/25/2020,7.37
09/24/2020,15
09/23/2020,15
09/22/2020,15
09/21/2020,0
09/20/2020,46.25
09/19/2020,45
09/18/2020,45
09/17/2020,45
09/16/2020,15
09/15/2020,45
09/14/2020,45
09/13/2020,45
09/12/2020,45
09/11/2020,45
09/10/2020,45
09/09/2020,35
09/08/2020,21.42
09/07/2020,35
09/06/2020,35
